"Woonplaats";"WoonplaatsCode";"Gemeente";"GemeenteCode";"Provincie";"ProvincieCode";"Landsdeel";"LandsdeelCode"
"Acquoy";"WP3527";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Adorp";"WP2464";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Aduard";"WP2114";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Aerdenhout";"WP2652";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Aerdt";"WP2976";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Afferden";"WP2902";"Druten";"GM0225";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Afferden L";"WP1122";"Bergen(L.)";"GM0893";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Agelo";"WP1407";"Dinkelland";"GM1774";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Akersloot";"WP2267";"Castricum";"GM0383";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Akkrum";"WP2525";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Akmarijp";"WP2484";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Albergen";"WP1283";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Alblasserdam";"WP2386";"Alblasserdam";"GM0482";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Alde Leie";"WP3224";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Aldeboarn";"WP2532";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Aldtsjerk";"WP2441";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Alem";"WP1623";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Alkmaar";"WP2348";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Allingawier";"WP2301";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Almelo";"WP1924";"Almelo";"GM0141";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Almen";"WP1334";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Almere";"WP1270";"Almere";"GM0034";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Almkerk";"WP3300";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Alphen";"WP1766";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Alphen";"WP3432";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Alphen aan den Rijn";"WP1080";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Alteveer";"WP1633";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Alteveer";"WP3079";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Alteveer";"WP3160";"DeWolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Alteveer gem Hoogeveen";"WP1810";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Altforst";"WP1767";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ambt Delden";"WP1438";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Ameide";"WP2106";"Vijfheerenlanden";"GM1961";"Utrecht";"PV26";"West-Nederland";"LD03"
"Amen";"WP1147";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"America";"WP1026";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Amerongen";"WP3337";"UtrechtseHeuvelrug";"GM1581";"Utrecht";"PV26";"West-Nederland";"LD03"
"Amersfoort";"WP1664";"Amersfoort";"GM0307";"Utrecht";"PV26";"West-Nederland";"LD03"
"Ammerstol";"WP2367";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Ammerzoden";"WP1624";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Amstelhoek";"WP3547";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Amstelveen";"WP1050";"Amstelveen";"GM0362";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Amstenrade";"WP2099";"Beekdaelen";"GM1954";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Amsterdam";"WP3594";"Amsterdam";"GM0363";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Amsterdam-Duivendrecht";"WP3569";"Ouder-Amstel";"GM0437";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Andel";"WP3301";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Den Andel";"WP2466";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Andelst";"WP1862";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Anderen";"WP1148";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Andijk";"WP1053";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Ane";"WP1537";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Anerveen";"WP1538";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Anevelde";"WP1539";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Angeren";"WP3133";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Angerlo";"WP1299";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Anjum";"WP3388";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ankeveen";"WP2999";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Anloo";"WP1149";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Anna Paulowna";"WP3185";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Annen";"WP1150";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Annerveenschekanaal";"WP1151";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ansen";"WP3104";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ansen";"WP3161";"DeWolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ter Apel";"WP2296";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Apeldoorn";"WP3560";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ter Apelkanaal";"WP2297";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Appelscha";"WP1753";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Appeltern";"WP1768";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Appingedam";"WP3386";"Appingedam";"GM0003";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Arcen";"WP3140";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Arkel";"WP1432";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Arnemuiden";"WP1008";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Arnhem";"WP1296";"Arnhem";"GM0202";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Arriën";"WP3630";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Arum";"WP2302";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Asch";"WP3370";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Asperen";"WP2353";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Assen";"WP2391";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Assendelft";"WP1878";"Zaanstad";"GM0479";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Asten";"WP2928";"Asten";"GM0743";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Augsbuurt";"WP3307";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Augustinusga";"WP3173";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Austerlitz";"WP2824";"Zeist";"GM0355";"Utrecht";"PV26";"West-Nederland";"LD03"
"Avenhorn";"WP1183";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Axel";"WP1128";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Azewijn";"WP2202";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Baaiduinen";"WP2621";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baaium";"WP2008";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baak";"WP1527";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Baambrugge";"WP1333";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Baard";"WP2009";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baarland";"WP1251";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Baarle-Nassau";"WP2883";"Baarle-Nassau";"GM0744";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Baarlo";"WP2602";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Baarlo";"WP2691";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Baarn";"WP1092";"Baarn";"GM0308";"Utrecht";"PV26";"West-Nederland";"LD03"
"Baars";"WP2692";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Babberich";"WP1298";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Babyloniënbroek";"WP1951";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bad Nieuweschans";"WP1420";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Badhoevedorp";"WP1617";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Baexem";"WP2940";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Baflo";"WP2465";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Bakel";"WP2090";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bakhuizen";"WP1673";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bakkeveen";"WP3342";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Balgoij";"WP2570";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Balinge";"WP3005";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Balk";"WP1674";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Balkbrug";"WP1540";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Balloërveld";"WP1153";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Balloo";"WP1152";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ballum";"WP2587";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baneheide";"WP3067";"Simpelveld";"GM0965";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Banholt";"WP1690";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bant";"WP1272";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Bantega";"WP2239";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Barchem";"WP1335";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Barendrecht";"WP1594";"Barendrecht";"GM0489";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Barger-Compascuum";"WP1987";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Barneveld";"WP3597";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Barsingerhorn";"WP2514";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Basse";"WP2693";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Batenburg";"WP2568";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Bathmen";"WP2854";"Deventer";"GM0150";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bavel";"WP3624";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bavel AC";"WP3437";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bears";"WP2010";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bedum";"WP2829";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beegden";"WP1918";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beek";"WP2203";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beek";"WP1670";"Beek";"GM0888";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beek";"WP2872";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beek en Donk";"WP1446";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beekbergen";"WP2258";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beemte Broekland";"WP2254";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beers NB";"WP1449";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beerta";"WP3508";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beerze";"WP2548";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beerzerveld";"WP2549";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beesd";"WP3213";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beesel";"WP1950";"Beesel";"GM0889";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beets";"WP1837";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Beetsterzwaag";"WP3343";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Beilen";"WP3006";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Beinsdorp";"WP1610";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Belfeld";"WP1476";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bellingwolde";"WP2231";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beltrum";"WP1661";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Belt-Schutsloot";"WP2694";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bemelen";"WP1691";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bemmel";"WP3131";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beneden-Leeuwen";"WP1769";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Bennebroek";"WP3533";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bennekom";"WP2766";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Benneveld";"WP2146";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Benningbroek";"WP3148";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Benschop";"WP1958";"Lopik";"GM0331";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bentelo";"WP1439";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Benthuizen";"WP2853";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bentveld";"WP1306";"Zandvoort";"GM0473";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Berg en Dal";"WP3618";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Berg en Terblijt";"WP1716";"ValkenburgaandeGeul";"GM0994";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bergambacht";"WP2365";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bergeijk";"WP1457";"Bergeijk";"GM1724";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergen (NH)";"WP3047";"Bergen(NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bergen aan Zee";"WP3046";"Bergen(NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bergen L";"WP1121";"Bergen(L.)";"GM0893";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bergen op Zoom";"WP1937";"BergenopZoom";"GM0748";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergentheim";"WP1541";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bergharen";"WP2565";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Berghem";"WP3250";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergschenhoek";"WP1688";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Beringe";"WP3438";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Berkel en Rodenrijs";"WP1687";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Berkel-Enschot";"WP1044";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Berkenwoude";"WP2366";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Berkhout";"WP1184";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Berlicum";"WP2057";"Sint-Michielsgestel";"GM0845";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Berltsum";"WP2724";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bern";"WP2627";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Best";"WP1456";"Best";"GM0753";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beugen";"WP1214";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beuningen";"WP1711";"Losser";"GM0168";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beuningen Gld";"WP2751";"Beuningen";"GM0209";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beusichem";"WP3371";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beutenaken";"WP1230";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beverwijk";"WP2735";"Beverwijk";"GM0375";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Biddinghuizen";"WP2429";"Dronten";"GM0303";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Bierum";"WP3232";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Biervliet";"WP2975";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Biervliet";"WP1129";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Biest-Houtakker";"WP1309";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Biezenmortel";"WP1425";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Biggekerke";"WP2775";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"De Bilt";"WP2934";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bilthoven";"WP2935";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bingelrade";"WP2845";"Beekdaelen";"GM1954";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bitgum";"WP2722";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bitgummole";"WP2723";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bladel";"WP1064";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Blankenham";"WP2695";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Blaricum";"WP2828";"Blaricum";"GM0376";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blauwestad";"WP3509";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Blauwhuis";"WP2401";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bleiswijk";"WP1689";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Blesdijke";"WP1720";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bleskensgraaf ca";"WP1980";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"De Blesse";"WP1722";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blessum";"WP2725";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blije";"WP3199";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blijham";"WP2232";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Blitterswijck";"WP1856";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bloemendaal";"WP2654";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blokker";"WP3613";"Hoorn";"GM0405";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blokzijl";"WP2696";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Boazum";"WP2011";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bocholtz";"WP3066";"Simpelveld";"GM0965";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bodegraven";"WP2665";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Boekel";"WP3138";"Boekel";"GM0755";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Boelenslaan";"WP3174";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Boer";"WP1371";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ten Boer";"WP1829";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Boerakker";"WP2259";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
